Date,Open,High,Low,Close,Volume,Adj Close
2013-02-14,169.179993,169.559998,167.740005,167.960007,94100,167.960007
2013-02-13,169.910004,169.979996,168.740005,169.039993,80600,169.039993
2013-02-12,167.720001,168.679993,167.350006,168.679993,43400,168.679993
2013-02-11,167.75,167.75,165.419998,165.889999,77000,165.889999
2013-02-08,168.639999,170.029999,168.199997,168.529999,42300,168.529999
2013-02-07,169.960007,170.779999,168.660004,168.880005,117000,168.880005
2013-02-06,169.539993,170.619995,169.539993,170.580002,146400,170.580002
2013-02-05,167.25,167.919998,166.399994,167.860001,57900,167.860001
2013-02-04,166.380005,167.520004,166.270004,166.619995,35600,166.619995
2013-02-01,165.809998,166.220001,165.100006,165.679993,67600,165.679993
2013-01-31,163.940002,164.899994,163.889999,164.899994,39400,164.899994
2013-01-30,165.949997,166.139999,165.169998,165.470001,64500,165.470001
2013-01-29,164.320007,165.089996,163.990005,164.820007,25600,164.820007
2013-01-28,165.070007,165.820007,162.729996,163.380005,67400,163.380005
2013-01-25,165.029999,166.559998,164.710007,166.550003,42500,166.550003
2013-01-24,164.869995,165.539993,164.460007,165.259995,34800,165.259995
2013-01-23,166.860001,166.960007,165.770004,165.830002,51400,165.830002
2013-01-22,165.610001,166.759995,165.320007,166.539993,86300,166.539993
2013-01-18,165.300003,165.410004,163.199997,163.639999,61100,163.639999
2013-01-17,165.759995,167.240005,165.639999,166.360001,63700,166.360001
2013-01-16,164.779999,166.800003,164.369995,165.639999,92400,165.639999
2013-01-15,165.830002,166.559998,165.210007,165.479996,248400,165.479996
2013-01-14,162.869995,163.00,162.00,162.990005,78500,162.990005
2013-01-11,159.669998,160.25,158.820007,160.179993,102600,160.179993
2013-01-10,158.910004,160.600006,158.820007,159.860001,143000,159.860001
2013-01-09,156.339996,157.320007,155.509995,157.259995,43300,157.259995
2013-01-08,154.399994,155.669998,154.059998,155.350006,19900,155.350006
2013-01-07,152.470001,153.100006,152.350006,152.860001,61900,152.860001
2013-01-04,152.960007,153.50,152.580002,153.50,26000,153.50
2013-01-03,154.550003,155.179993,153.470001,153.639999,70100,153.639999
2013-01-02,154.160004,154.839996,153.270004,153.699997,75700,153.699997
2012-12-31,149.360001,151.479996,149.360001,151.360001,47200,151.360001
2012-12-28,150.199997,150.199997,149.00,149.529999,47000,149.529999
2012-12-27,150.600006,150.869995,150.160004,150.789993,43800,150.789993
2012-12-26,151.639999,151.880005,150.550003,151.080002,31100,151.080002
2012-12-24,151.039993,151.240005,150.690002,150.860001,17500,150.860001
2012-12-21,150.850006,151.800003,150.059998,151.339996,72600,151.339996
2012-12-20,153.679993,153.809998,151.630005,152.399994,73900,152.399994
2012-12-19,156.559998,157.259995,156.199997,156.279999,50200,156.279999
2012-12-18,157.940002,158.210007,156.119995,156.710007,63700,156.710007
2012-12-17,157.899994,158.389999,157.699997,158.020004,32500,158.020004
2012-12-14,158.419998,159.080002,158.419998,159.00,28200,159.00
2012-12-13,157.800003,159.089996,157.460007,158.699997,56600,158.699997
2012-12-12,161.240005,161.830002,159.809998,160.610001,68500,160.610001
2012-12-11,160.220001,161.25,159.960007,160.729996,114000,160.729996
2012-12-10,159.429993,159.820007,159.199997,159.520004,29700,159.520004
