,Gold,PPLT,SLV
344,62.578621,139.449997,19.35
345,63.899256,141.679993,19.51
346,66.520965,141.75,19.17
347,66.061187,142.050003,19.030001
348,67.900301,142.130005,19.26
349,68.585072,139.229996,19.16
350,66.315534,137.639999,18.889999
351,66.550312,137.690002,18.85
352,69.00572,137.929993,19.02
353,66.863351,134.770004,18.49
354,67.401391,134.270004,18.450001
355,70.091577,135.080002,18.610001
356,69.426368,134.149994,18.75
357,70.042662,134.820007,19.07
358,69.201367,134.429993,19.17
359,71.421997,135.020004,19.27
360,72.908933,135.320007,19.290001
361,75.403473,135.339996,19.450001
362,74.14153,137.330002,19.43
363,76.606715,138.149994,19.74
364,77.917573,139.5,20.65
365,78.621914,138.830002,21.129999
366,77.487141,138.160004,20.629999
367,79.003431,138.449997,21.0
368,79.15017,139.5,20.969999
369,79.365378,140.309998,21.18
370,78.661045,140.580002,21.02
371,78.700169,139.5,20.42
372,78.240398,141.649994,20.459999
373,77.320841,141.009995,20.35
374,80.627321,142.240005,20.620001
375,79.482771,142.779999,20.370001
376,82.466435,144.160004,20.360001
377,82.857729,144.649994,20.66
378,80.069719,144.509995,20.08
379,79.482771,144.020004,20.01
380,79.697987,142.720001,20.040001
381,81.115367,143.899994,20.469999
382,81.056305,144.029999,20.360001
383,82.34573,143.240005,20.620001
384,80.603532,142.789993,20.33
385,79.491287,142.380005,20.01
386,77.443961,141.139999,19.790001
387,78.231396,139.630005,19.52
388,78.497152,139.960007,19.52
389,74.963553,139.050003,19.209999
390,76.361243,138.669998,19.219999
391,74.28439,137.169998,19.02
392,74.117063,136.520004,19.0
393,74.540308,137.220001,19.059999
394,73.821773,138.119995,19.040001
395,74.018628,139.050003,19.059999
396,75.308053,140.169998,19.190001
397,75.189936,140.699997,19.059999
398,75.534436,141.300003,19.16
399,75.928153,139.309998,19.129999
400,78.930242,140.330002,19.23
401,77.365216,140.740005,19.110001
402,76.499043,141.820007,19.27
403,76.095481,141.789993,19.190001
404,78.644797,142.860001,19.209999
